NAMESPACE     NAME                                      READY   STATUS    RESTARTS      AGE
whiskey       quebec                                    1/1     Running   1 (55m ago)   26d
whiskey       romeo                                     1/1     Running   1 (55m ago)   26d
whiskey       sierra                                    1/1     Running   0             26d
whiskey       tango                                     1/1     Running   0             26d
whiskey       uniform                                   1/1     Running   0             26d
whiskey       victor                                    1/1     Running   0             26d
whiskey       whiskey                                   1/1     Running   0             26d
whiskey       xray                                      1/1     Running   0             26d
whiskey       yankee                                    1/1     Running   0             26d
whiskey       zulu                                      1/1     Running   1 (55m ago)   26d
xray          alpha                                     1/1     Running   1 (55m ago)   26d
xray          bravo                                     1/1     Running   0             26d
xray          charlie                                   1/1     Running   0             26d
xray          delta                                     1/1     Running   0             26d
xray          echo                                      1/1     Running   0             26d
xray          foxtrot                                   1/1     Running   0             26d
xray          golf                                      1/1     Running   1 (55m ago)   26d
xray          hotel                                     1/1     Running   1 (55m ago)   26d
xray          india                                     1/1     Running   0             26d
xray          juliet                                    1/1     Running   1 (55m ago)   26d
xray          kilo                                      1/1     Running   0             26d
xray          lima                                      1/1     Running   0             26d
xray          mike                                      1/1     Running   0             26d
xray          november                                  1/1     Running   0             26d
xray          oscar                                     1/1     Running   0             26d
xray          papa                                      1/1     Running   1 (55m ago)   26d
xray          quebec                                    1/1     Running   0             26d
xray          romeo                                     1/1     Running   1 (55m ago)   26d
xray          sierra                                    1/1     Running   1 (55m ago)   26d
xray          tango                                     1/1     Running   1 (55m ago)   26d
xray          uniform                                   1/1     Running   0             26d
xray          victor                                    1/1     Running   0             26d
xray          whiskey                                   1/1     Running   0             26d
xray          xray                                      1/1     Running   0             26d
xray          yankee                                    1/1     Running   0             26d
xray          zulu                                      1/1     Running   0             26d
yankee        alpha                                     1/1     Running   0             26d
yankee        bravo                                     1/1     Running   0             26d
yankee        charlie                                   1/1     Running   0             26d
yankee        delta                                     1/1     Running   0             26d
yankee        echo                                      1/1     Running   0             26d
yankee        foxtrot                                   1/1     Running   0             26d
yankee        golf                                      1/1     Running   0             26d
yankee        hotel                                     1/1     Running   1 (55m ago)   26d
yankee        india                                     1/1     Running   1 (55m ago)   26d
yankee        juliet                                    1/1     Running   1 (55m ago)   26d
yankee        kilo                                      1/1     Running   0             26d
yankee        lima                                      1/1     Running   0             26d
yankee        mike                                      1/1     Running   1 (55m ago)   26d
yankee        november                                  1/1     Running   0             26d
yankee        oscar                                     1/1     Running   0             26d
yankee        papa                                      1/1     Running   0             26d
yankee        quebec                                    1/1     Running   0             26d
yankee        romeo                                     1/1     Running   1 (55m ago)   26d
yankee        sierra                                    1/1     Running   0             26d
yankee        tango                                     1/1     Running   0             26d
yankee        uniform                                   1/1     Running   1 (55m ago)   26d
yankee        victor                                    1/1     Running   0             26d
yankee        whiskey                                   1/1     Running   0             26d
yankee        xray                                      1/1     Running   0             26d
yankee        yankee                                    1/1     Running   1 (55m ago)   26d
yankee        zulu                                      1/1     Running   0             26d
zulu          alpha                                     1/1     Running   0             26d
zulu          bravo                                     1/1     Running   0             26d
zulu          charlie                                   1/1     Running   0             26d
zulu          delta                                     1/1     Running   0             26d
zulu          echo                                      1/1     Running   0             26d
zulu          foxtrot                                   1/1     Running   0             26d
zulu          golf                                      1/1     Running   1 (55m ago)   26d
zulu          hotel                                     1/1     Running   0             26d
zulu          india                                     1/1     Running   1 (55m ago)   26d
zulu          juliet                                    1/1     Running   0             26d
zulu          kilo                                      1/1     Running   0             26d
zulu          lima                                      1/1     Running   0             26d
zulu          mike                                      1/1     Running   0             26d
zulu          november                                  1/1     Running   0             26d
zulu          oscar                                     1/1     Running   1 (55m ago)   26d
zulu          papa                                      1/1     Running   0             26d
zulu          quebec                                    1/1     Running   0             26d
zulu          romeo                                     1/1     Running   1 (55m ago)   26d
zulu          sierra                                    1/1     Running   0             26d
zulu          tango                                     1/1     Running   1 (55m ago)   26d
zulu          uniform                                   1/1     Running   0             26d
zulu          victor                                    1/1     Running   1 (55m ago)   26d
zulu          whiskey                                   1/1     Running   0             26d
zulu          xray                                      1/1     Running   0             26d
zulu          yankee                                    1/1     Running   0             26d
zulu          zulu 
