NAMESPACE     NAME                                      READY   STATUS    RESTARTS      AGE
foxtrot       foxtrot                                   1/1     Running   1 (55m ago)   26d
foxtrot       golf                                      1/1     Running   1 (55m ago)   26d
foxtrot       hotel                                     1/1     Running   1             26d
foxtrot       india                                     1/1     Running   1 (55m ago)   26d
foxtrot       juliet                                    1/1     Running   0             26d
foxtrot       kilo                                      1/1     Running   0             26d
foxtrot       lima                                      1/1     Running   0             26d
foxtrot       mike                                      1/1     Running   0             26d
foxtrot       november                                  1/1     Running   1 (55m ago)   26d
foxtrot       oscar                                     1/1     Running   0             26d
foxtrot       papa                                      1/1     Running   0             26d
foxtrot       quebec                                    1/1     Running   0             26d
foxtrot       romeo                                     1/1     Running   0             26d
foxtrot       sierra                                    1/1     Running   0             26d
foxtrot       tango                                     1/1     Running   0             26d
foxtrot       uniform                                   1/1     Running   0             26d
foxtrot       victor                                    1/1     Running   1 (55m ago)   26d
foxtrot       whiskey                                   1/1     Running   1 (55m ago)   26d
foxtrot       xray                                      1/1     Running   1             26d
foxtrot       yankee                                    1/1     Running   0             26d
foxtrot       zulu                                      1/1     Running   0             26d
golf          alpha                                     1/1     Running   0             26d
golf          bravo                                     1/1     Running   0             26d
golf          charlie                                   1/1     Running   0             26d
golf          delta                                     1/1     Running   0             26d
golf          echo                                      1/1     Running   1 (55m ago)   26d
golf          foxtrot                                   1/1     Running   0             26d
golf          golf                                      1/1     Running   0             26d
golf          hotel                                     1/1     Running   0             26d
golf          india                                     1/1     Running   0             26d
golf          juliet                                    1/1     Running   0             26d
golf          kilo                                      1/1     Running   0             26d
golf          lima                                      1/1     Running   0             26d
golf          mike                                      1/1     Running   0             26d
golf          november                                  1/1     Running   0             26d
golf          oscar                                     1/1     Running   0             26d
golf          papa                                      1/1     Running   0             26d
golf          quebec                                    1/1     Running   1 (55m ago)   26d
golf          romeo                                     1/1     Running   1 (55m ago)   26d
golf          sierra                                    1/1     Running   1 (55m ago)   26d
golf          tango                                     1/1     Running   0             26d
golf          uniform                                   1/1     Running   1 (55m ago)   26d
golf          victor                                    1/1     Running   1 (55m ago)   26d
golf          whiskey                                   1/1     Running   0             26d
golf          xray                                      1/1     Running   0             26d
golf          yankee                                    1/1     Running   0             26d
golf          zulu                                      1/1     Running   0             26d
hotel         alpha                                     1/1     Running   0             26d
hotel         bravo                                     1/1     Running   0             26d
hotel         charlie                                   1/1     Running   1 (55m ago)   26d
hotel         delta                                     1/1     Running   1 (55m ago)   26d
hotel         echo                                      1/1     Running   0             26d
hotel         foxtrot                                   1/1     Running   1 (55m ago)   26d
hotel         golf                                      1/1     Running   0             26d
hotel         hotel                                     1/1     Running   1 (55m ago)   26d
hotel         india                                     1/1     Running   0             26d
hotel         juliet                                    1/1     Running   0             26d
hotel         kilo                                      1/1     Running   1 (55m ago)   26d
hotel         lima                                      1/1     Running   0             26d
hotel         mike                                      1/1     Running   0             26d
hotel         november                                  1/1     Running   0             26d
hotel         oscar                                     1/1     Running   0             26d
hotel         papa                                      1/1     Running   0             26d
hotel         quebec                                    1/1     Running   0             26d
hotel         romeo                                     1/1     Running   0             26d
hotel         sierra                                    1/1     Running   1 (55m ago)   26d
hotel         tango                                     1/1     Running   0             26d
hotel         uniform                                   1/1     Running   0             26d
hotel         victor                                    1/1     Running   0             26d
hotel         whiskey                                   1/1     Running   0             26d
hotel         xray                                      1/1     Running   0             26d
hotel         yankee                                    1/1     Running   1 (55m ago)   26d
hotel         zulu                                      1/1     Running   0             26d
india         alpha                                     1/1     Running   0             26d
india         bravo                                     1/1     Running   1 (55m ago)   26d
india         charlie                                   1/1     Running   0             26d
india         delta                                     1/1     Running   0             26d
india         echo                                      1/1     Running   0             26d
india         foxtrot                                   1/1     Running   1             26d
india         golf                                      1/1     Running   1 (55m ago)   26d
india         hotel                                     1/1     Running   0             26d
india         india                                     1/1     Running   0             26d
india         juliet                                    1/1     Running   0             26d
india         kilo                                      1/1     Running   1 (55m ago)   26d
india         lima                                      1/1     Running   1 (55m ago)   26d
india         mike                                      1/1     Running   0             26d
india         november                                  1/1     Running   0             26d
india         oscar                                     1/1     Running   1 (55m ago)   26d
india         papa                                      1/1     Running   0             26d
india         quebec                                    1/1     Running   0             26d
india         romeo                                     1/1     Running   0             26d
india         sierra                                    1/1     Running   1 (55m ago)   26d
india         tango                                     1/1     Running   0             26d
india         uniform                                   1/1     Running   0             26d
india         victor                                    1/1     Running   0             26d
india         whiskey                                   1/1     Running   0             26d
india         xray                                      1/1     Running   0             26d
india         yankee                                    1/1     Running   0             26d
india         zulu                                      1/1     Running   0             26d
juliet        alpha                                     1/1     Running   1             26d
juliet        bravo                                     1/1     Running   1 (55m ago)   26d
juliet        charlie                                   1/1     Running   0             26d
juliet        delta                                     1/1     Running   0             26d
juliet        echo                                      1/1     Running   0             26d
juliet        foxtrot                                   1/1     Running   0             26d
juliet        golf                                      1/1     Running   0             26d
juliet        hotel                                     1/1     Running   1 (55m ago)   26d
juliet        india                                     1/1     Running   0             26d
juliet        juliet                                    1/1     Running   0             26d
juliet        kilo                                      1/1     Running   0             26d
juliet        lima                                      1/1     Running   1 (55m ago)   26d
juliet        mike                                      1/1     Running   0             26d
juliet        november                                  1/1     Running   1 (55m ago)   26d
juliet        oscar                                     1/1     Running   0             26d
juliet        papa                                      1/1     Running   1 (55m ago)   26d
juliet        quebec                                    1/1     Running   0             26d
juliet        romeo                                     1/1     Running   0             26d
juliet        sierra                                    1/1     Running   1 (55m ago)   26d
juliet        tango                                     1/1     Running   1 (55m ago)   26d
juliet        uniform                                   1/1     Running   0             26d
juliet        victor                                    1/1     Running   0             26d
juliet        whiskey                                   1/1     Running   1 (55m ago)   26d
juliet        xray                                      1/1     Running   0             26d
juliet        yankee                                    1/1     Running   0             26d
juliet        zulu                                      1/1     Running   1 (55m ago)   26d
kilo          alpha                                     1/1     Running   0             26d
kilo          bravo                                     1/1     Running   0             26d
kilo          charlie                                   1/1     Running   0             26d
kilo          delta                                     1/1     Running   0             26d
kilo          echo                                      1/1     Running   0             26d
kilo          foxtrot                                   1/1     Running   1 (55m ago)   26d
kilo          golf                                      1/1     Running   0             26d
kilo          hotel                                     1/1     Running   1 (55m ago)   26d
kilo          india                                     1/1     Running   0             26d
kilo          juliet                                    1/1     Running   0             26d
kilo          kilo                                      1/1     Running   0             26d
kilo          lima                                      1/1     Running   1 (55m ago)   26d
kilo          mike                                      1/1     Running   0             26d
kilo          november                                  1/1     Running   1 (55m ago)   26d
kilo          oscar                                     1/1     Running   0             26d
kilo          papa                                      1/1     Running   0             26d
kilo          quebec                                    1/1     Running   1 (55m ago)   26d
kilo          romeo                                     1/1     Running   0             26d
kilo          sierra                                    1/1     Running   0             26d
kilo          tango                                     1/1     Running   1 (55m ago)   26d
kilo          uniform                                   1/1     Running   0             26d
kilo          victor                                    1/1     Running   0             26d
kilo          whiskey                                   1/1     Running   1             26d
kilo          xray                                      1/1     Running   0             26d
kilo          yankee                                    1/1     Running   0             26d
kilo          zulu                                      1/1     Running   0             26d
kube-system   coredns-ccb96694c-755l5                   1/1     Running   2 (54m ago)   26d
kube-system   local-path-provisioner-5cf85fd84d-h6s4x   1/1     Running   3 (54m ago)   26d
kube-system   metrics-server-5985cbc9d7-zmvc6           1/1     Running   2 (54m ago)   26d
lima          alpha                                     1/1     Running   0             26d
lima          bravo                                     1/1     Running   0             26d
lima          charlie                                   1/1     Running   0             26d
lima          delta                                     1/1     Running   0             26d
lima          echo                                      1/1     Running   0             26d
lima          foxtrot                                   1/1     Running   0             26d
lima          golf                                      1/1     Running   0             26d
lima          hotel                                     1/1     Running   0             26d
lima          india                                     1/1     Running   0             26d
lima          juliet                                    1/1     Running   0             26d
lima          kilo                                      1/1     Running   1 (55m ago)   26d
lima          lima                                      1/1     Running   0             26d
lima          mike                                      1/1     Running   0             26d
lima          november                                  1/1     Running   1 (55m ago)   26d
lima          oscar                                     1/1     Running   0             26d
lima          papa                                      1/1     Running   0             26d
lima          quebec                                    1/1     Running   0             26d
lima          romeo                                     1/1     Running   0             26d
lima          sierra                                    1/1     Running   0             26d
lima          tango                                     1/1     Running   0             26d
lima          uniform                                   1/1     Running   0             26d
lima          victor                                    1/1     Running   0             26d
lima          whiskey                                   1/1     Running   0             26d
lima          xray                                      1/1     Running   1 (55m ago)   26d
lima          yankee                                    1/1     Running   0             26d
lima          zulu                                      1/1     Running   0             26d
mike          alpha                                     1/1     Running   1 (55m ago)   26d
mike          bravo                                     1/1     Running   1 (55m ago)   26d
